Date,Close/Last,Volume,Open,High,Low
03/20/2024,$179.73,81773110,$182.03,$182.68,$174.00
03/19/2024,$181.42,83509460,$183.16,$185.6127,$177.3602
03/18/2024,$190.65,59306870,$193.285,$193.50,$188.05
03/15/2024,$191.06,95289510,$184.83,$193.7999,$184.48
03/14/2024,$187.06,84490530,$192.92,$196.93,$184.03
03/13/2024,$194.79,70526880,$198.73,$198.83,$192.7001
03/12/2024,$202.76,68951660,$200.52,$202.8499,$194.27
03/11/2024,$198.39,73098620,$203.01,$203.55,$196.701
03/08/2024,$207.39,120815200,$213.41,$227.30,$205.60
03/07/2024,$211.38,63869040,$212.52,$213.83,$208.22
03/06/2024,$210.63,86686990,$210.43,$214.8109,$207.32
03/05/2024,$205.13,65407110,$200.50,$205.33,$199.15
03/04/2024,$205.36,86835340,$205.16,$211.01,$203.50
03/01/2024,$202.64,103820800,$197.91,$202.72,$195.42
02/29/2024,$192.53,105538500,$179.82,$193.00,$179.82
02/28/2024,$176.54,35914410,$176.25,$176.84,$173.59
02/27/2024,$178.00,43665240,$175.92,$178.46,$172.49
02/26/2024,$176.01,45435090,$178.78,$179.84,$174.81
02/23/2024,$176.52,69207370,$181.86,$183.80,$174.55
02/22/2024,$181.86,100684700,$173.20,$183.83,$172.00
02/21/2024,$164.29,48774560,$162.74,$164.90,$161.81
02/20/2024,$165.69,66549990,$171.14,$171.81,$162.00
02/16/2024,$173.87,53940340,$177.45,$180.3301,$173.25
02/15/2024,$176.76,51126440,$179.14,$180.50,$175.26
02/14/2024,$178.70,57402520,$173.47,$178.74,$172.88
02/13/2024,$171.54,63071310,$167.94,$173.17,$164.30
02/12/2024,$171.91,58177050,$172.68,$177.405,$170.67
02/09/2024,$172.48,56375710,$171.00,$175.10,$168.6601
02/08/2024,$169.35,43385280,$170.33,$172.17,$168.60
02/07/2024,$170.94,53665420,$169.47,$172.97,$168.20
02/06/2024,$167.88,68854130,$173.15,$173.88,$165.50
02/05/2024,$174.23,76349240,$179.09,$180.01,$171.11
02/02/2024,$177.66,82134270,$173.79,$179.00,$173.05
02/01/2024,$170.48,91576690,$169.27,$171.14,$165.86
01/31/2024,$167.69,133157300,$165.74,$171.30,$162.5602
01/30/2024,$172.06,122265700,$176.13,$178.48,$169.52
01/29/2024,$177.83,89384450,$178.77,$178.885,$174.40
01/26/2024,$177.25,107381200,$175.29,$181.23,$174.15
01/25/2024,$180.33,127171400,$183.41,$184.92,$177.63
01/24/2024,$178.29,125516400,$172.55,$180.58,$170.56
01/23/2024,$168.42,76830460,$166.50,$169.6299,$164.27
01/22/2024,$168.18,122973800,$174.39,$174.72,$164.15
01/19/2024,$174.23,140367900,$165.80,$174.25,$162.20
01/18/2024,$162.67,131864900,$166.20,$168.60,$158.22
01/17/2024,$160.17,104085000,$158.45,$160.64,$154.40
01/16/2024,$158.74,112711400,$150.36,$159.715,$149.98
01/12/2024,$146.56,48293090,$148.04,$148.75,$145.00
01/11/2024,$148.02,62764600,$148.52,$150.38,$143.69
01/10/2024,$148.54,56951240,$150.07,$150.88,$146.65
01/09/2024,$149.26,67875670,$145.95,$149.86,$145.08
01/08/2024,$146.18,71756910,$140.36,$147.15,$140.15
01/05/2024,$138.58,69657680,$136.78,$141.01,$136.4377
01/04/2024,$136.01,58610290,$134.30,$137.70,$134.00
01/03/2024,$135.32,61988580,$135.71,$137.43,$133.7413
01/02/2024,$138.58,64902030,$144.28,$144.40,$137.43
12/29/2023,$147.41,62079190,$149.50,$151.05,$147.20
12/28/2023,$148.76,63800680,$146.80,$150.41,$145.9506
12/27/2023,$146.07,49033420,$144.72,$146.25,$143.18
12/26/2023,$143.41,47157430,$140.07,$143.85,$139.92
12/22/2023,$139.60,35396580,$140.48,$140.70,$138.31
12/21/2023,$139.91,47179360,$138.14,$139.98,$137.38
12/20/2023,$135.47,54671720,$139.00,$139.58,$135.37
12/19/2023,$140.15,63739780,$138.57,$143.47,$138.555
12/18/2023,$138.90,45199450,$139.15,$139.79,$137.65
12/15/2023,$139.15,70211800,$139.52,$140.89,$137.25
12/14/2023,$138.00,76115170,$138.89,$141.82,$135.725
12/13/2023,$138.19,70651600,$137.97,$139.24,$136.0303
12/12/2023,$137.61,111677800,$132.25,$139.89,$131.90
12/11/2023,$134.41,98668280,$130.56,$135.04,$128.25
12/08/2023,$128.92,89341010,$129.54,$131.00,$126.89
12/07/2023,$128.37,118579100,$120.785,$128.68,$119.56
12/06/2023,$116.82,60599030,$120.69,$122.8313,$116.38
12/05/2023,$118.38,39191570,$117.43,$118.49,$116.45
12/04/2023,$118.57,39854420,$119.75,$119.90,$116.37
12/01/2023,$121.39,37048000,$119.88,$121.4001,$118.645
11/30/2023,$121.16,44494210,$123.61,$124.05,$119.65
11/29/2023,$123.85,37876320,$123.98,$125.725,$123.48
11/28/2023,$122.01,32047060,$121.98,$122.54,$120.79
11/27/2023,$122.65,32743010,$122.07,$123.89,$121.772
11/24/2023,$122.31,19001010,$122.03,$123.25,$121.54
